Total Time (s): 
286.847
Core Time (s): 
52.6909
1 6.3579905e-06 10
2 6.3579905e-06 10
3 6.3570273e-06 10
4 6.3570273e-06 10
5 6.3512609e-06 10
6 6.3512247e-06 10
7 6.3506566e-06 10
8 6.3461462e-06 10
9 6.2547996e-06 10
10 6.1938946e-06 10
11 6.1620667e-06 10
12 5.9520772e-06 10
13 5.9369272e-06 10
14 5.9208485e-06 10
15 5.9061382e-06 10
16 5.8795441e-06 10
17 5.8612227e-06 10
18 5.8612227e-06 10
19 5.8612227e-06 10
20 5.8612227e-06 10
