Total Time (s): 
326.233
Core Time (s): 
68.5997
1 6.2253934e-07 11
2 6.2253934e-07 11
3 6.2253934e-07 11
4 6.2253934e-07 11
5 6.2253934e-07 11
6 6.2253934e-07 11
7 6.2253934e-07 11
8 6.2253934e-07 11
9 6.2253934e-07 11
10 6.2253934e-07 11
11 6.2253934e-07 11
12 6.2253934e-07 11
13 6.2253934e-07 11
14 6.2253934e-07 11
15 6.2253934e-07 11
16 6.2253934e-07 11
17 6.2253934e-07 11
18 6.2253934e-07 11
19 6.2253934e-07 11
20 6.2253934e-07 11
