Total Time (s): 
338.706
Core Time (s): 
68.2686
1 9.1639816e-06 15
2 8.8358079e-06 15
3 8.8358079e-06 15
4 8.8358079e-06 15
5 8.8358079e-06 15
6 8.8358079e-06 15
7 8.8358079e-06 15
8 8.8358079e-06 15
9 8.8358079e-06 15
10 8.7335802e-06 15
11 8.4567726e-06 15
12 8.3462121e-06 15
13 8.3400033e-06 15
14 8.3400033e-06 15
15 8.3400033e-06 15
16 8.3400033e-06 15
17 8.3400033e-06 15
18 8.3400033e-06 15
19 8.3400033e-06 15
20 8.3400033e-06 15
