Total Time (s): 
400.157
Core Time (s): 
37.4581
1 1.0816521e-05 20
2 1.0604266e-05 20
3 1.0603465e-05 20
4 1.0532915e-05 20
5 1.0462924e-05 20
6 1.0428056e-05 20
7 1.0347528e-05 20
8 1.0264022e-05 20
9 1.0261562e-05 20
10 1.0261367e-05 20
11 1.0261277e-05 20
12 1.0214156e-05 20
13 1.0209834e-05 20
14 1.0209673e-05 20
15 1.020933e-05 20
16 1.0209032e-05 20
17 1.0209032e-05 20
18 1.0108857e-05 20
19 1.0092333e-05 20
20 1.0067252e-05 20
