Total Time (s): 
447.747
Core Time (s): 
52.2333
1 6.4963044e-07 9
2 6.3039316e-07 9
3 6.2357438e-07 11
4 6.2357438e-07 11
5 6.2305016e-07 11
6 6.2304687e-07 11
7 6.2299522e-07 11
8 6.2258519e-07 11
9 6.2258519e-07 11
10 6.2258519e-07 11
11 6.1938946e-07 10
12 6.1899025e-07 16
13 6.1428095e-07 11
14 6.0715633e-07 9
15 6.0137814e-07 9
16 5.9840998e-07 9
17 5.9538379e-07 9
18 5.9433484e-07 12
19 5.9369272e-07 10
20 5.9307933e-07 9
