Total Time (s): 
451.792
Core Time (s): 
24.8788
1 7.0643534e-07 5
2 6.9793621e-07 5
3 6.9377525e-07 5
4 6.93095e-07 6
5 6.9111044e-07 6
6 6.8903183e-07 5
7 6.8903183e-07 5
8 6.8903183e-07 5
9 6.8874237e-07 5
10 6.8621787e-07 5
11 6.791707e-07 5
12 6.7297334e-07 5
13 6.6913938e-07 8
14 6.6913938e-07 8
15 6.6913938e-07 8
16 6.6913938e-07 8
17 6.6649406e-07 5
18 6.6298087e-07 6
19 6.6285472e-07 6
20 6.5951252e-07 5
