Total Time (s): 
389.874
Core Time (s): 
37.3211
1 6.8385756e-07 7
2 6.8385756e-07 7
3 6.8385756e-07 7
4 6.8385756e-07 7
5 6.8385756e-07 7
6 6.8385756e-07 7
7 6.8385756e-07 7
8 6.8385756e-07 7
9 6.8385756e-07 7
10 6.8385756e-07 7
11 6.8385756e-07 7
12 6.8385756e-07 7
13 6.8385756e-07 7
14 6.8385756e-07 7
15 6.8385756e-07 7
16 6.8385756e-07 7
17 6.8385756e-07 7
18 6.8385756e-07 7
19 6.8385756e-07 7
20 6.8385756e-07 7
